utt_id,audio_path,split,domain,scenario,speaker_id,transcript
vise_0001,audio/vise_0001.wav,train,devops,daily_standup,spk01,em vua push code len branch develop roi tao pull request
vise_0002,audio/vise_0002.wav,train,frontend,code_review,spk02,component nay bi re-render nhieu lan khi state thay doi
vise_0003,audio/vise_0003.wav,train,backend,bug_report,spk03,api login dang tra ve status code nam tram
vise_0004,audio/vise_0004.wav,train,database,debugging,spk04,query nay thieu index nen chay rat cham tren production
vise_0005,audio/vise_0005.wav,train,testing,planning,spk05,minh can viet them unit test cho ham validate email
vise_0006,audio/vise_0006.wav,train,devops,deployment,spk01,pipeline bi fail o buoc build docker image
vise_0007,audio/vise_0007.wav,train,frontend,debugging,spk02,nut submit khong disable khi form dang loading
vise_0008,audio/vise_0008.wav,train,backend,code_review,spk03,middleware authentication nen tach ra thanh mot module rieng
vise_0009,audio/vise_0009.wav,train,database,design,spk04,bang users can them unique constraint cho truong phone
vise_0010,audio/vise_0010.wav,train,testing,bug_report,spk05,test case nay flaky vi phu thuoc vao thoi gian hien tai
vise_0011,audio/vise_0011.wav,train,devops,incident,spk01,server staging dang het disk nen khong deploy duoc
vise_0012,audio/vise_0012.wav,train,frontend,planning,spk02,sprint nay minh lam trang dashboard bang react query
vise_0013,audio/vise_0013.wav,train,backend,debugging,spk03,token het han nhung refresh token khong duoc goi lai
vise_0014,audio/vise_0014.wav,train,database,code_review,spk04,migration nay can rollback script truoc khi merge
vise_0015,audio/vise_0015.wav,train,testing,code_review,spk05,mock service chua cover truong hop timeout
vise_0016,audio/vise_0016.wav,train,devops,deployment,spk01,config kubernetes dang thieu environment variable cho database url
vise_0017,audio/vise_0017.wav,train,frontend,bug_report,spk02,css o mobile bi vo layout khi sidebar mo
vise_0018,audio/vise_0018.wav,train,backend,planning,spk03,endpoint search can phan trang va cache ket qua
vise_0019,audio/vise_0019.wav,train,database,debugging,spk04,transaction bi deadlock khi hai request update cung mot record
vise_0020,audio/vise_0020.wav,train,testing,planning,spk05,integration test nen chay voi database container rieng
vise_0021,audio/vise_0021.wav,train,devops,code_review,spk01,pull request nay doi file ci nen can review ky
vise_0022,audio/vise_0022.wav,train,frontend,debugging,spk02,hook use effect bi goi lap vi dependency array sai
vise_0023,audio/vise_0023.wav,train,backend,bug_report,spk03,service payment thinh thoang tra ve null response
vise_0024,audio/vise_0024.wav,train,database,planning,spk04,schema moi phai ho tro soft delete cho order
vise_0025,audio/vise_0025.wav,train,testing,debugging,spk05,coverage giam vi nhanh error chua co assertion
vise_0026,audio/vise_0026.wav,train,devops,incident,spk01,log production co nhieu warning ve memory leak
vise_0027,audio/vise_0027.wav,train,frontend,code_review,spk02,prop name nay chua ro nghia nen doi thanh is disabled
vise_0028,audio/vise_0028.wav,train,backend,design,spk03,chung ta nen dung message queue cho tac vu gui email
vise_0029,audio/vise_0029.wav,train,database,debugging,spk04,foreign key bi loi vi du lieu seed khong dung thu tu
vise_0030,audio/vise_0030.wav,train,testing,planning,spk05,e two e test can login bang tai khoan demo
vise_0031,audio/vise_0031.wav,train,devops,deployment,spk01,rollback ban release neu health check tiep tuc fail
vise_0032,audio/vise_0032.wav,train,frontend,bug_report,spk02,modal khong close khi nguoi dung bam escape
vise_0033,audio/vise_0033.wav,train,backend,code_review,spk03,controller nay dang chua qua nhieu business logic
vise_0034,audio/vise_0034.wav,train,database,design,spk04,index composite nen dat theo thu tu tenant id roi created at
vise_0035,audio/vise_0035.wav,train,testing,debugging,spk05,snapshot test fail vi text button vua thay doi
vise_0036,audio/vise_0036.wav,train,devops,incident,spk01,pod bi crash loop back off sau khi update secret
vise_0037,audio/vise_0037.wav,train,frontend,planning,spk02,man hinh profile can lazy load phan activity history
vise_0038,audio/vise_0038.wav,train,backend,debugging,spk03,rate limiter chan nham request tu internal service
vise_0039,audio/vise_0039.wav,train,database,bug_report,spk04,replica lag lam du lieu hien thi bi cu
vise_0040,audio/vise_0040.wav,train,devops,code_review,spk05,docker compose nen tach rieng service redis va postgres
vise_0041,audio/vise_0041.wav,train,frontend,code_review,spk01,button primary can them aria label cho screen reader
vise_0042,audio/vise_0042.wav,train,backend,planning,spk02,api gateway se route request sang service inventory
vise_0043,audio/vise_0043.wav,train,database,debugging,spk03,slow query log cho thay join dang quet toan bo bang
vise_0044,audio/vise_0044.wav,train,testing,planning,spk04,load test can mo phong mot nghin concurrent users
vise_0045,audio/vise_0045.wav,train,devops,incident,spk05,cpu usage tang cao sau khi bat autoscaling
vise_0046,audio/vise_0046.wav,train,frontend,debugging,spk01,bundle size lon vi import ca thu vien lodash
vise_0047,audio/vise_0047.wav,train,backend,bug_report,spk02,webhook payment gui duplicate event trong cung mot phut
vise_0048,audio/vise_0048.wav,train,database,design,spk03,column email nen dung kieu citext de search khong phan biet hoa thuong
vise_0049,audio/vise_0049.wav,train,testing,code_review,spk04,fixture nay tao du lieu qua nhieu lam test suite cham
vise_0050,audio/vise_0050.wav,train,devops,deployment,spk05,github actions can cache dependency truoc buoc install
vise_0051,audio/vise_0051.wav,train,frontend,planning,spk01,trang settings can debounce khi user nhap o search
vise_0052,audio/vise_0052.wav,train,backend,debugging,spk02,grpc client bi deadline exceeded khi goi service report
vise_0053,audio/vise_0053.wav,train,database,planning,spk03,partition table theo thang de giam thoi gian archive
vise_0054,audio/vise_0054.wav,train,testing,bug_report,spk04,assertion message chua ro nen kho debug khi test fail
vise_0055,audio/vise_0055.wav,train,devops,incident,spk05,nginx tra ve bad gateway vi upstream service down
vise_0056,audio/vise_0056.wav,train,frontend,code_review,spk01,custom hook nay nen return object thay vi array
vise_0057,audio/vise_0057.wav,train,backend,design,spk02,event handler nen idempotent de retry khong tao du lieu trung
vise_0058,audio/vise_0058.wav,train,database,debugging,spk03,connection pool bi day khi batch job chay ban dem
vise_0059,audio/vise_0059.wav,train,testing,planning,spk04,contract test can verify response schema cua api
vise_0060,audio/vise_0060.wav,train,devops,deployment,spk05,terraform plan co thay doi ngoai du kien o security group
vise_0061,audio/vise_0061.wav,train,frontend,bug_report,spk01,toast notification bi che boi header sticky
vise_0062,audio/vise_0062.wav,train,backend,code_review,spk02,dto request can validate truoc khi goi repository
vise_0063,audio/vise_0063.wav,train,database,design,spk03,read replica chi nen dung cho query bao cao
vise_0064,audio/vise_0064.wav,train,testing,debugging,spk04,mock clock giup test logic het han token on dinh hon
vise_0065,audio/vise_0065.wav,train,devops,incident,spk05,container restart lien tuc vi health probe cau hinh sai
vise_0066,audio/vise_0066.wav,train,frontend,planning,spk01,form wizard can luu draft vao local storage
vise_0067,audio/vise_0067.wav,train,backend,bug_report,spk02,serializer bo sot field discount trong response
vise_0068,audio/vise_0068.wav,train,database,code_review,spk03,migration them column not null can default value
vise_0069,audio/vise_0069.wav,train,testing,planning,spk04,smoke test nen chay ngay sau khi deploy staging
vise_0070,audio/vise_0070.wav,train,devops,deployment,spk05,blue green deployment giup giam downtime khi release
vise_0071,audio/vise_0071.wav,dev,frontend,debugging,spk01,hydration error xuat hien khi server render khac client
vise_0072,audio/vise_0072.wav,dev,backend,planning,spk02,job scheduler se gui reminder moi ngay luc tam gio
vise_0073,audio/vise_0073.wav,dev,database,bug_report,spk03,backup restore bi loi vi version postgres khong khop
vise_0074,audio/vise_0074.wav,dev,testing,code_review,spk04,test data builder giup giam duplication trong unit test
vise_0075,audio/vise_0075.wav,dev,devops,incident,spk05,alert manager gui qua nhieu notification cho cung mot incident
vise_0076,audio/vise_0076.wav,dev,frontend,code_review,spk01,memoization o list item giup giam render khong can thiet
vise_0077,audio/vise_0077.wav,dev,backend,debugging,spk02,circuit breaker mo khi downstream service timeout lien tuc
vise_0078,audio/vise_0078.wav,dev,database,planning,spk03,materialized view se tang toc dashboard analytics
vise_0079,audio/vise_0079.wav,dev,testing,bug_report,spk04,parallel test bi conflict vi dung chung temp folder
vise_0080,audio/vise_0080.wav,dev,devops,deployment,spk05,helm chart thieu resource limit cho worker pod
vise_0081,audio/vise_0081.wav,dev,frontend,planning,spk01,dark mode can dong bo theme giua browser va app state
vise_0082,audio/vise_0082.wav,dev,backend,code_review,spk02,repository layer khong nen phu thuoc truc tiep vao express request
vise_0083,audio/vise_0083.wav,dev,database,debugging,spk03,vacuum chua chay nen table bloat tang rat nhanh
vise_0084,audio/vise_0084.wav,dev,testing,planning,spk04,mutation test giup kiem tra chat luong assertion
vise_0085,audio/vise_0085.wav,dev,devops,incident,spk05,ssl certificate het han lam client khong goi duoc api
vise_0086,audio/vise_0086.wav,test,frontend,bug_report,spk01,image lazy loading khien layout shift tren trang product
vise_0087,audio/vise_0087.wav,test,backend,design,spk02,feature flag cho phep bat dan chuc nang recommendation
vise_0088,audio/vise_0088.wav,test,database,code_review,spk03,enum status nen co migration cho gia tri cancelled
vise_0089,audio/vise_0089.wav,test,testing,debugging,spk04,playwright trace giup xem lai buoc click bi fail
vise_0090,audio/vise_0090.wav,test,devops,deployment,spk05,artifact build can gan version tag theo git commit
vise_0091,audio/vise_0091.wav,test,frontend,planning,spk01,accessibility audit se kiem tra contrast va keyboard navigation
vise_0092,audio/vise_0092.wav,test,backend,bug_report,spk02,oauth callback redirect sai domain tren moi truong staging
vise_0093,audio/vise_0093.wav,test,database,planning,spk03,sharding theo tenant id co the giam tai database chinh
vise_0094,audio/vise_0094.wav,test,testing,code_review,spk04,snapshot nen update sau khi designer doi copy
vise_0095,audio/vise_0095.wav,test,devops,incident,spk05,message broker bi nghen vi consumer xu ly qua cham
vise_0096,audio/vise_0096.wav,test,frontend,debugging,spk01,service worker cache lam nguoi dung thay phien ban cu
vise_0097,audio/vise_0097.wav,test,backend,planning,spk02,graphql resolver can batch request de tranh n plus one query
vise_0098,audio/vise_0098.wav,test,database,bug_report,spk03,unique index khong hoat dong vi du lieu null duoc phep lap
vise_0099,audio/vise_0099.wav,test,testing,planning,spk04,regression test se cover cac bug da tung xay ra
vise_0100,audio/vise_0100.wav,test,devops,code_review,spk05,dockerfile nen dung multi stage build de giam image size
